1, none, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
52, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
53, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
54, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
55, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:farseer, 30, 1, 1
56, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:murmur, 10, 1, 1
57, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
58, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
59, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
60, badlands, regions_unexplored:arid_mountains, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
61, badlands, regions_unexplored:arid_mountains, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
62, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:roadrunner, 10, 2, 2
63, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
64, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
65, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:emu, 20, 2, 5
66, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:kangaroo, 25, 3, 5
67, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:drygmy, 10, 1, 2
68, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
69, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
70, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
71, badlands, regions_unexplored:arid_mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
72, badlands, regions_unexplored:arid_mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
73, badlands, regions_unexplored:arid_mountains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
74, none, far_end:ashfall_delta, MONSTER, alexsmobs:farseer, 30, 1, 1
75, none, far_end:ashfall_delta, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
76, none, far_end:ashfall_delta, CREATURE, alexsmobs:endergrade, 10, 2, 6
77, none, far_end:ashfall_delta, CREATURE, alexsmobs:spectre, 10, 1, 2
78, none, far_end:ashfall_delta, CREATURE, alexsmobs:enderiophage, 10, 2, 2
79, none, far_end:ashfall_delta, CREATURE, alexsmobs:cosmaw, 10, 1, 2
80, none, far_end:ashfall_delta, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 12
81, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:revenant, 25, 5, 8
82, forest, regions_unexplored:autumnal_maple_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
83, forest, regions_unexplored:autumnal_maple_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
84, forest, regions_unexplored:autumnal_maple_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
85, forest, regions_unexplored:autumnal_maple_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
86, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
87, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
88, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
89, forest, regions_unexplored:autumnal_maple_forest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
90, forest, regions_unexplored:autumnal_maple_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
91, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
92, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
93, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:crow, 10, 3, 5
94, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
95, forest, regions_unexplored:autumnal_maple_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
96, forest, regions_unexplored:autumnal_maple_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
97, forest, regions_unexplored:autumnal_maple_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
98, forest, regions_unexplored:autumnal_maple_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
99, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
100, forest, regions_unexplored:autumnal_maple_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
101, forest, regions_unexplored:autumnal_maple_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
102, badlands, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
103, badlands, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
104, badlands, minecraft:badlands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
105, badlands, minecraft:badlands, MONSTER, alexsmobs:farseer, 30, 1, 1
106, badlands, minecraft:badlands, MONSTER, alexsmobs:murmur, 10, 1, 1
107, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
108, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
109, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
110, badlands, minecraft:badlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
111, badlands, minecraft:badlands, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
112, badlands, minecraft:badlands, CREATURE, alexsmobs:roadrunner, 10, 2, 2
113, badlands, minecraft:badlands, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
114, badlands, minecraft:badlands, CREATURE, alexsmobs:emu, 20, 2, 5
115, badlands, minecraft:badlands, CREATURE, alexsmobs:kangaroo, 25, 3, 5
116, badlands, minecraft:badlands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
117, badlands, minecraft:badlands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
118, badlands, minecraft:badlands, CREATURE, kellomod:rat, 80, 1, 7
119, badlands, minecraft:badlands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
120, badlands, minecraft:badlands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
121, badlands, minecraft:badlands, AMBIENT, alexsmobs:fly, 10, 2, 3
122, badlands, minecraft:badlands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
123, badlands, minecraft:badlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
124, jungle, regions_unexplored:bamboo_forest, MONSTER, graveyard:ghoul, 25, 2, 5
125, jungle, regions_unexplored:bamboo_forest, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
126, jungle, regions_unexplored:bamboo_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
127, jungle, regions_unexplored:bamboo_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
128, jungle, regions_unexplored:bamboo_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
129, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
130, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
131, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
132, jungle, regions_unexplored:bamboo_forest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
133, jungle, regions_unexplored:bamboo_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
134, jungle, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
135, jungle, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:gorilla, 25, 7, 7
136, jungle, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 12
137, jungle, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:toucan, 23, 5, 5
138, jungle, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:anteater, 10, 1, 3
139, jungle, regions_unexplored:bamboo_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
140, jungle, regions_unexplored:bamboo_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
141, jungle, regions_unexplored:bamboo_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
142, jungle, regions_unexplored:bamboo_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
143, jungle, regions_unexplored:bamboo_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
144, jungle, regions_unexplored:bamboo_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
145, jungle, regions_unexplored:bamboo_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
146, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
147, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:centipede_head, 10, 1, 1
148, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:farseer, 30, 1, 1
149, jungle, minecraft:bamboo_jungle, MONSTER, alexsmobs:murmur, 10, 1, 1
150, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
151, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
152, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
153, jungle, minecraft:bamboo_jungle, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
154, jungle, minecraft:bamboo_jungle, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
155, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:hummingbird, 19, 7, 7
156, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:komodo_dragon, 16, 1, 2
157, jungle, minecraft:bamboo_jungle, CREATURE, alexsmobs:tiger, 30, 1, 3
158, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:drygmy, 10, 1, 2
159, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
160, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
161, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
162, jungle, minecraft:bamboo_jungle, AMBIENT, alexsmobs:fly, 10, 2, 3
163, jungle, minecraft:bamboo_jungle, AMBIENT, alexsmobs:cockroach, 10, 5, 5
164, jungle, minecraft:bamboo_jungle, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
165, savanna, regions_unexplored:baobab_savanna, MONSTER, graveyard:ghoul, 25, 2, 5
166, savanna, regions_unexplored:baobab_savanna, MONSTER, graveyard:nightmare, 10, 1, 1
167, savanna, regions_unexplored:baobab_savanna, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
168, savanna, regions_unexplored:baobab_savanna, MONSTER, alexsmobs:centipede_head, 10, 1, 1
169, savanna, regions_unexplored:baobab_savanna, MONSTER, alexsmobs:farseer, 30, 1, 1
170, savanna, regions_unexplored:baobab_savanna, MONSTER, alexsmobs:murmur, 10, 1, 1
171, savanna, regions_unexplored:baobab_savanna, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
172, savanna, regions_unexplored:baobab_savanna, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
173, savanna, regions_unexplored:baobab_savanna, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
174, savanna, regions_unexplored:baobab_savanna, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
175, savanna, regions_unexplored:baobab_savanna, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
176, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:gazelle, 40, 7, 7
177, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:elephant, 30, 3, 5
178, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:emu, 20, 2, 5
179, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:kangaroo, 25, 3, 5
180, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:maned_wolf, 10, 1, 1
181, savanna, regions_unexplored:baobab_savanna, CREATURE, alexsmobs:rhinoceros, 24, 3, 5
182, savanna, regions_unexplored:baobab_savanna, CREATURE, ars_nouveau:drygmy, 10, 1, 2
183, savanna, regions_unexplored:baobab_savanna, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
184, savanna, regions_unexplored:baobab_savanna, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
185, savanna, regions_unexplored:baobab_savanna, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
186, savanna, regions_unexplored:baobab_savanna, AMBIENT, alexsmobs:fly, 10, 2, 3
187, savanna, regions_unexplored:baobab_savanna, AMBIENT, alexsmobs:cockroach, 10, 5, 5
188, savanna, regions_unexplored:baobab_savanna, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
189, none, regions_unexplored:barley_fields, MONSTER, graveyard:nightmare, 10, 1, 1
190, none, regions_unexplored:barley_fields, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
191, none, regions_unexplored:barley_fields, MONSTER, alexsmobs:centipede_head, 10, 1, 1
192, none, regions_unexplored:barley_fields, MONSTER, alexsmobs:farseer, 30, 1, 1
193, none, regions_unexplored:barley_fields, MONSTER, alexsmobs:murmur, 10, 1, 1
194, none, regions_unexplored:barley_fields, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
195, none, regions_unexplored:barley_fields, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
196, none, regions_unexplored:barley_fields, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
197, none, regions_unexplored:barley_fields, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
198, none, regions_unexplored:barley_fields, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
199, none, regions_unexplored:barley_fields, CREATURE, alexsmobs:raccoon, 10, 2, 4
200, none, regions_unexplored:barley_fields, CREATURE, alexsmobs:crow, 10, 3, 5
201, none, regions_unexplored:barley_fields, CREATURE, alexsmobs:bison, 10, 6, 10
202, none, regions_unexplored:barley_fields, CREATURE, ars_nouveau:drygmy, 10, 1, 2
203, none, regions_unexplored:barley_fields, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
204, none, regions_unexplored:barley_fields, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
205, none, regions_unexplored:barley_fields, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
206, none, regions_unexplored:barley_fields, AMBIENT, alexsmobs:fly, 10, 2, 3
207, none, regions_unexplored:barley_fields, AMBIENT, alexsmobs:cockroach, 10, 5, 5
208, none, regions_unexplored:barley_fields, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
209, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:bone_serpent, 10, 1, 1
210, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:straddler, 70, 1, 3
211, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:farseer, 30, 1, 1
212, nether, minecraft:basalt_deltas, CREATURE, alexsmobs:laviathan, 15, 1, 1
213, nether, minecraft:basalt_deltas, WATER_CREATURE, alexsmobs:stradpole, 10, 1, 1
214, none, regions_unexplored:bayou, MONSTER, graveyard:ghoul, 25, 2, 5
215, none, regions_unexplored:bayou, MONSTER, graveyard:nightmare, 10, 1, 1
216, none, regions_unexplored:bayou, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
217, none, regions_unexplored:bayou, MONSTER, alexsmobs:centipede_head, 10, 1, 1
218, none, regions_unexplored:bayou, MONSTER, alexsmobs:farseer, 30, 1, 1
219, none, regions_unexplored:bayou, MONSTER, alexsmobs:murmur, 10, 1, 1
220, none, regions_unexplored:bayou, MONSTER, fromtheshadows:bulldrogioth, 10, 1, 1
221, none, regions_unexplored:bayou, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
222, none, regions_unexplored:bayou, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
223, none, regions_unexplored:bayou, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
224, none, regions_unexplored:bayou, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
225, none, regions_unexplored:bayou, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
226, none, regions_unexplored:bayou, CREATURE, alexsmobs:crocodile, 20, 1, 2
227, none, regions_unexplored:bayou, CREATURE, alexsmobs:shoebill, 10, 1, 2
228, none, regions_unexplored:bayou, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
229, none, regions_unexplored:bayou, CREATURE, alexsmobs:anaconda, 12, 1, 1
230, none, regions_unexplored:bayou, CREATURE, ars_nouveau:drygmy, 10, 1, 2
231, none, regions_unexplored:bayou, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
232, none, regions_unexplored:bayou, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
233, none, regions_unexplored:bayou, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
234, none, regions_unexplored:bayou, AMBIENT, alexsmobs:fly, 10, 2, 3
235, none, regions_unexplored:bayou, AMBIENT, alexsmobs:cockroach, 10, 5, 5
236, none, regions_unexplored:bayou, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
237, none, regions_unexplored:bayou, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
238, beach, minecraft:beach, MONSTER, graveyard:nightmare, 10, 1, 1
239, beach, minecraft:beach, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
240, beach, minecraft:beach, MONSTER, alexsmobs:centipede_head, 10, 1, 1
241, beach, minecraft:beach, MONSTER, alexsmobs:farseer, 30, 1, 1
242, beach, minecraft:beach, MONSTER, alexsmobs:murmur, 10, 1, 1
243, beach, minecraft:beach, MONSTER, fromtheshadows:bulldrogioth, 15, 1, 1
244, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
245, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
246, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
247, beach, minecraft:beach, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
248, beach, minecraft:beach, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
249, beach, minecraft:beach, CREATURE, alexsmobs:seal, 20, 3, 8
250, beach, minecraft:beach, CREATURE, alexsmobs:seagull, 21, 3, 6
251, beach, minecraft:beach, CREATURE, ars_nouveau:drygmy, 10, 1, 2
252, beach, minecraft:beach, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
253, beach, minecraft:beach, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
254, beach, minecraft:beach, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
255, beach, minecraft:beach, AMBIENT, alexsmobs:fly, 10, 2, 3
256, beach, minecraft:beach, AMBIENT, alexsmobs:cockroach, 10, 5, 5
257, beach, minecraft:beach, WATER_AMBIENT, alexsmobs:lobster, 10, 3, 5
258, beach, minecraft:beach, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
259, none, regions_unexplored:bioshroom_caves, MONSTER, alexsmobs:farseer, 30, 1, 1
260, none, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
261, none, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
262, none, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
263, none, regions_unexplored:bioshroom_caves, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
264, none, regions_unexplored:bioshroom_caves, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
265, none, regions_unexplored:bioshroom_caves, CREATURE, ars_nouveau:drygmy, 10, 1, 2
266, none, regions_unexplored:bioshroom_caves, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
267, none, regions_unexplored:bioshroom_caves, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
268, none, regions_unexplored:bioshroom_caves, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
269, none, regions_unexplored:bioshroom_caves, AMBIENT, alexsmobs:fly, 10, 2, 3
270, none, regions_unexplored:bioshroom_caves, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
271, forest, minecraft:birch_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
272, forest, minecraft:birch_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
273, forest, minecraft:birch_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
274, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
275, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
276, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
277, forest, minecraft:birch_forest, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
278, forest, minecraft:birch_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
279, forest, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
280, forest, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
281, forest, minecraft:birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
282, forest, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
283, forest, minecraft:birch_forest, CREATURE, alexsmobs:sugar_glider, 15, 2, 4
284, forest, minecraft:birch_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
285, forest, minecraft:birch_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
286, forest, minecraft:birch_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
287, forest, minecraft:birch_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
288, forest, minecraft:birch_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
289, forest, minecraft:birch_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
290, forest, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
291, forest, minecraft:birch_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
292, forest, minecraft:birch_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
